lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
10.5,76.5,1926.5059,435.33328,0.22597039,226.51282051282053,0.358974358974359,0.20201360346651134,0.9837133093570508,0.6760599136997126,0.9872379216089127,0.6885538715213868,Critical,1.5485178006403595
10.5,76.75,2023.8638,723.71533,0.35759094,220.02564102564105,0.5897435897435898,0.21234722828287061,0.9619101423348759,0.7081746636346549,0.9790337283574994,0.690575068884886,Critical,1.5837969644799015
10.5,77.0,882.99036,500.20145,0.56648576,271.84615384615387,0.0769230769230769,0.09125424977872076,0.927306361614258,0.4516374714665983,0.9972652689161956,0.5988466768595493,Moderate,-0.017284171603300365
10.5,77.25,693.23145,482.5723,0.69612,301.97435897435895,0.1538461538461538,0.07111312736850767,0.9058322302076296,0.3024879411363329,0.9945305378323912,0.5569222184478241,Moderate,-0.7490582496333309
10.5,77.5,866.67206,404.1457,0.46631905,295.15384615384613,0.3333333333333333,0.08952221581084763,0.9438991467697048,0.3362528560876952,0.9881494986368475,0.5771193973124313,Moderate,-0.3965248478345836
10.5,77.75,840.3003,329.98624,0.39270037,296.12820512820514,0.2051282051282051,0.08672310168054007,0.9560942057934821,0.33142929680892896,0.9927073837765216,0.5795031872584487,Moderate,-0.35491678046653197
10.5,78.0,651.60535,371.2459,0.5697404,306.8974358974359,0.0256410256410256,0.06669490861103393,0.9267672249861474,0.2781162732015149,0.9990884229720652,0.5570956392131663,Moderate,-0.7460312619159638
10.5,78.25,761.1691,408.24792,0.5363433,303.6666666666667,0.1025641025641025,0.07832406953144595,0.9322995111630117,0.29411018028373914,0.9963536918882607,0.5644825576789998,Moderate,-0.6170956559569725
10.5,78.5,909.1719,360.0664,0.3960378,288.9230769230769,0.1282051282051282,0.09403317384625409,0.9555413548616571,0.367098248317699,0.995442114860326,0.5893754692479118,Moderate,-0.18260018236179912
10.5,78.75,905.60144,412.19302,0.45515943,300.6923076923077,0.358974358974359,0.09365420312007966,0.9457477567228162,0.3088347296610251,0.9872379216089127,0.5731096264511611,Moderate,-0.4665137394334084
10.5,79.0,957.28516,407.18732,0.42535636,285.15384615384613,0.4102564102564102,0.09913994358483663,0.9506846857432736,0.3857578065802939,0.985414767553043,0.5909184077155889,Moderate,-0.1556688296999918
10.5,79.25,1160.1522,337.63635,0.29102764,283.7692307692308,0.4615384615384615,0.12067237062943546,0.9729364657125485,0.3926123381869614,0.9835916134971735,0.6038561986286535,High,0.07015495850916738
10.5,79.5,1365.2195,402.17203,0.29458416,281.12820512820514,0.9743589743589745,0.14243833456563162,0.9723473221511693,0.4056867225478271,0.9653600729384773,0.6082956936516666,High,0.14764450758049766
10.5,79.75,1450.561,378.00287,0.2605908,279.97435897435895,1.564102564102564,0.1514965316124591,0.9779783798068691,0.41139883222005025,0.9443938012959767,0.6083217712034592,High,0.14809968045912908
10.75,75.75,2757.927,528.784,0.1917324,236.35897435897436,1.9230769230769231,0.2902611284419342,0.9893848903865599,0.627316577830077,0.9316317229048894,0.692795807421458,Critical,1.6225590369481113
10.75,76.0,2550.363,482.62134,0.18923633,225.15384615384616,0.9743589743589745,0.26823016329803934,0.989798368609444,0.6827875095358864,0.9653600729384773,0.7058161612835694,Critical,1.8498239272777763
