lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
13.0,79.25,999.53015,300.60135,0.30074266,284.1025641025641,0.3333333333333333
13.0,79.5,1067.7424,337.09024,0.3157037,276.61538461538464,0.4358974358974359
13.0,79.75,1221.1343,441.16113,0.3612716,291.0769230769231,1.205128205128205
13.0,80.0,1401.801,407.30008,0.29055485,287.71794871794873,1.7179487179487178
13.25,74.5,3978.8975,598.35,0.15038085,216.92307692307693,5.282051282051282
13.25,74.75,4299.7646,907.7763,0.21112232,212.0,5.487179487179487
13.25,75.0,3806.2393,1154.4314,0.30329975,203.51282051282053,4.410256410256411
13.25,75.25,3264.6472,761.6276,0.23329553,225.33333333333337,4.589743589743589
13.25,75.5,2741.711,1067.609,0.38939518,220.56410256410257,2.3076923076923075
13.25,75.75,791.6695,237.91083,0.30051786,282.0769230769231,0.0256410256410256
13.25,76.0,788.32855,203.09875,0.2576321,269.8205128205128,0.0
13.25,76.25,705.2044,210.91382,0.29908183,290.84615384615387,0.0512820512820512
13.25,76.5,769.9217,198.45233,0.2577565,281.0,0.1025641025641025
13.25,76.75,794.5789,344.38382,0.43341675,283.4871794871795,0.0769230769230769
13.25,77.0,875.5883,208.25133,0.2378416,284.02564102564105,0.2051282051282051
13.25,77.25,791.30597,231.7972,0.29292992,282.35897435897436,0.0512820512820512
13.25,77.5,791.2267,227.2847,0.28725612,288.0,0.0512820512820512
13.25,77.75,784.21594,213.2391,0.27191377,286.1025641025641,0.0512820512820512
13.25,78.0,749.96906,228.91942,0.3052385,291.94871794871796,0.0769230769230769
13.25,78.25,820.9035,227.30888,0.27690086,286.7435897435897,0.1025641025641025
13.25,78.5,919.8417,280.9947,0.30548158,290.0,0.2564102564102564
13.25,78.75,1043.006,282.4641,0.27081734,275.53846153846155,0.2564102564102564
13.25,79.0,1101.2269,325.4749,0.29555663,285.5128205128205,0.4871794871794871
13.25,79.25,965.8275,317.1258,0.3283462,281.97435897435895,0.4871794871794871
13.25,79.5,1114.9562,352.8811,0.31649774,279.28205128205127,0.5897435897435898
13.25,79.75,1216.5262,393.82892,0.32373238,280.02564102564105,0.8974358974358975
13.25,80.0,1363.505,442.48447,0.32451987,286.7435897435897,1.4615384615384617
13.25,80.25,1317.2183,457.22913,0.34711722,282.15384615384613,1.2820512820512822
13.5,74.5,4115.6143,670.8588,0.16300333,220.05128205128204,5.9743589743589745
13.5,74.75,4794.992,887.41174,0.18507053,212.8717948717949,8.256410256410257
13.5,75.0,4180.74,2036.347,0.4870781,213.84615384615384,6.589743589743589
13.5,75.25,2908.0427,733.7925,0.2523321,223.8717948717949,2.641025641025641
13.5,75.5,2053.253,547.16364,0.26648623,220.02564102564105,0.5384615384615384
13.5,75.75,804.8428,298.94186,0.3714289,287.61538461538464,0.0512820512820512
